domain,use numbers,status(public/private),owner,days,datatime
fintech-llc.com,226,public,lucafer,6777,2005-03-28
laughparty.com,19,private,hill1970,6776,2005-04-02
fabrissin.com,18,private,alby79,6773,2005-03-31
matthewandcaroline.com,16,private,langworthym,6771,2005-03-10
nhscisco.org,26,private,mvimpvm,6767,2005-04-01
jrlambs.com,44,private,jrlambs,6766,2005-03-03
nhscisco.net,17,private,mvimpvm,6762,2005-04-01
papi.one.pl,27,private,krzych,6760,2005-03-17
barbedwiretightrope.com,15,private,eclipse15,6758,2005-04-04
annika.net,18,private,ziemowit,6755,2005-01-19
ziemowit.com,15,private,ziemowit,6752,2005-01-25
e-novativ.ch,15,private,adraez,6752,2005-04-26
enovative.ch,15,private,adraez,6745,2005-04-28
bitlynx.com,37,private,gmcgarry,6744,2005-04-30
smarth.net,26,private,smarth,6743,2005-04-20
4twenty.us,477,public,silentbob420,6741,2005-04-21
kosmatos.net,18,private,kosmatos,6740,2005-04-23
1337.cx,3347,public,darthflo,6736,2005-05-12
enovativ.ch,10,private,adraez,6733,2005-04-28
giranet.ch,17,private,phip79,6731,2005-04-19
caphector.com,56,private,caphec,6729,2005-05-13
mbsanalytics.com,27,private,treyjohnson,6729,2004-10-24
cityaround.com,28,private,cityaround,6726,2005-03-08
jackbarnes.net,24,private,gsbarn,6724,2005-03-26
mobytech.ch,35,private,ymo,6722,2004-09-06
contem.bz,188,public,hysteriskx,6712,2005-06-05
southtrestle.com,14,private,mtrey,6711,2005-06-01
systohc.net,23,private,deever,6708,2005-05-22
fernando-botero-sculpture.com,201,public,travishansson,6706,2005-06-03
travishanssonfineart.com,22,private,travishansson,6705,2005-06-03
thefinsters.net,20,private,eclipse15,6704,2005-04-08
gregorymcgarry.com,25,private,gmcgarry,6698,2005-06-19
idav.info,17,private,simonallen,6697,2005-06-01
dorange.info,25,private,dorange,6695,2004-09-10
tropicalhideout.net,21,private,jiggen,6688,2005-06-26
rubikdesignandprint.com.au,29,private,abogar,6683,2005-06-06
macmillangroup.ca,18,private,dirty7,6677,2005-04-28
hyperheadrecords.com,16,private,eclipse15,6674,2005-06-28
ubillos.org,24,private,javierubillos,6673,2005-05-12
walterh.com,15,private,whilenski,6668,2005-06-28
afaa.it,24,private,afa,6665,2005-06-21
patio-gardener.com,18,private,driver9,6663,2005-07-15
ronin.one.pl,12,private,roninew,6661,2005-06-03
travis-hansson-fine-art.com,21,private,travishansson,6659,2005-06-03
ltu.one.pl,175,public,blynda,6655,2005-07-29
mistapotta.com,24,private,texasmath,6654,2005-05-29
talbotech.com,34,private,talbotech,6653,2005-07-31
olaphelpdesk.com,17,private,treyjohnson,6651,2004-10-24
micat.ch,33,private,mrob,6649,2005-07-22
tokfort.nu,22,private,tajiger,6646,2004-10-29
unibutton.com,379,public,mwong,6642,2005-08-12
mlbx.org,28,private,anelson,6639,2005-08-05
aluminumrain.com,17,private,apherian,6633,2005-08-20
svart.nu,29,private,tratten,6633,2005-07-25
lesliemcdougall.com,38,private,doog,6631,2005-08-18
suitless.net,23,private,njbrown,6629,2005-08-12
chapko.com,21,private,jchaps31,6627,2005-08-10
pugspace.com,29,private,lartman,6627,2005-06-30
softwarefreaks.com,23,private,ashoooo,6625,2005-08-16
